Cidade,Estado,Região,Estacionamento,Animais,Restaurantes
Aberdeen,MD,Mid-Atlantic,N,N,N
Albany,OR,Pacific Northwest,Y,Y,N
Albion,MI,Central,N,Y,N
Albuquerque,NM,Southwest,Y,Y,N
Alderson,WV,Mid-Atlantic,N,N,N
Alexandria,VA,Mid-Atlantic,Y,Y,N
Alliance,OH,Central,N,N,N
Alpena,MI,Central,N,N,N
Alpine,TX,Southwest,N,N,N
Alton,IL,Central,Y,N,N
Altoona,PA,Mid-Atlantic,Y,N,N
Amherst,MA,Northeast,N,Y,N
Amsterdam,NY,Northeast,N,N,N
Anaheim,CA,Southwest,Y,Y,N
Ann Arbor,MI,Central,Y,N,N
Anniston,AL,Southern,N,N,N
Antioch,CA,Pacific,N,N,N
Appleton,WI,Central,N,N,N
Arcata,CA,Pacific,N,N,N
Ardmore,OK,Southwest,N,N,N
Ardmore,PA,Mid-Atlantic,N,N,N
Arkadelphia,AR,Central,N,N,N
Ashland,KY,Mid-Atlantic,N,N,N
Ashland,OR,Pacific,N,N,N
Ashland,VA,Mid-Atlantic,N,N,N
Astoria,OR,Pacific,N,N,N
Astoria,OR,Pacific Northwest,N,N,N
Atascadero,CA,Pacific,N,N,N
Athol,ID,Pacific Northwest,N,N,N
Atlanta,GA,Southern,Y,N,N
Atlantic City,NJ,Northeast,N,Y,N
Auburn,CA,Pacific,N,N,N
Austin,TX,Southwest,Y,Y,N
Baker City,OR,Pacific Northwest,N,N,N
Bakersfield,CA,Pacific,Y,Y,N
Baltimore,MD,Mid-Atlantic,Y,Y,N
Bangor,ME,Northeast,N,N,N
Bangor,MI,Central,N,N,N
Barstow,CA,Southwest,N,N,N
Barstow,CA,Southwest,N,N,N
Bath,ME,Northeast,N,N,N
Baton Rouge,LA,Southern,N,N,N
Battle Creek,MI,Central,Y,N,N
Bay City,MI,Central,N,N,N
Beaumont,TX,Southwest,N,N,N
Beaver Dam,WI,Central,N,N,N
Bellingham,WA,Pacific Northwest,Y,Y,N
Bellows Falls,VT,Northeast,N,N,N
Bend,OR,Pacific Northwest,N,N,N
Bend,OR,Pacific Northwest,N,N,N
Bend,OR,Pacific Northwest,N,N,N
Benson,AZ,Southwest,N,N,N
Berkeley,CA,Pacific,N,N,N
Berlin,MD,Mid-Atlantic,N,N,N
Berlin,NH,Northeast,N,N,N
Big Rapids,MI,Central,N,N,N
Bingen,WA,Pacific Northwest,N,N,N
Birmingham,AL,Southern,Y,N,N
Birmingham,MI,Central,N,N,N
Boise,ID,Pacific Northwest,N,N,N
Boston,MA,Northeast,Y,Y,N
Boyne Falls,MI,Central,N,N,N
Bradenton,FL,Southern,N,Y,N
Brattleboro,VT,Northeast,N,Y,N
Brewster,WA,Pacific,N,N,N
Bridgeport,CT,Northeast,N,Y,N
Brookhaven,MS,Southern,N,N,N
Brookings,OR,Pacific,N,N,N
Browning,MT,Pacific Northwest,N,N,N
Bryan,OH,Central,N,N,N
Buellton,CA,Pacific,N,N,N
Buffalo,NY,Northeast,Y,N,N
Burbank,CA,Southwest,N,N,N
Burke,VA,Mid-Atlantic,N,N,N
Burlington,IA,Central,N,N,N
Burlington,NC,Southern,N,N,N
Burns,OR,Pacific Northwest,N,N,N
BWI Airport,MD,Mid-Atlantic,Y,N,N
Cabazon,CA,Southwest,N,N,N
Cadillac,MI,Central,N,N,N
Camarillo,CA,Southwest,N,N,N
Cambridge,MD,Mid-Atlantic,N,Y,N
Camden,SC,Southern,N,N,N
Camp Verde,AZ,Southwest,N,N,N
Cannon Beach,OR,Pacific Northwest,N,N,N
Carbondale,IL,Central,Y,Y,N
Carlinville,IL,Central,N,N,N
Carlsbad,CA,Pacific,N,N,N
Carmel,CA,Pacific,N,N,N
Carpinteria,CA,Southwest,N,N,N
Cary,NC,Southern,Y,N,N
Castleton,VT,Northeast,N,Y,N
Cave Junction,OR,Pacific,N,N,N
Centralia,IL,Central,N,N,N
Centralia,WA,Pacific Northwest,Y,Y,N
Champaign,IL,Central,Y,Y,N
Charleston,WV,Mid-Atlantic,Y,Y,N
Charlotte,NC,Southern,Y,Y,N
Charlottesville,VA,Mid-Atlantic,Y,Y,N
Chatsworth,CA,Southwest,N,N,N
Chemult,OR,Pacific Northwest,N,N,N
Chewelah,WA,Pacific Northwest,N,N,N
Chicago,IL,Central,Y,Y,N
Chico,CA,Pacific,N,N,N
Chippewa Falls,WI,Central,N,N,N
Cincinnati,OH,Central,Y,Y,N
Claremont,CA,Southwest,N,N,N
Clearwater,FL,Southern,Y,N,N
Cleburne,TX,Southwest,N,N,N
Clemson,SC,Southern,N,N,N
Cleveland,OH,Central,Y,Y,N
Clifton Forge,VA,Mid-Atlantic,N,N,N
Cloverdale,CA,Pacific,N,N,N
Coatesville,PA,Mid-Atlantic,N,N,N
Coeur d'Alene,ID,Pacific Northwest,N,N,N
Colby,WI,Central,N,N,N
Colfax,CA,Pacific,N,N,N
Colfax,WA,Pacific Northwest,N,N,N
Colorado Springs,CO,Central,N,N,N
Columbia,SC,Southern,Y,N,Y
Columbus,WI,Central,Y,Y,N
Colville,WA,Pacific Northwest,N,N,N
Concord,NH,Northeast,N,N,N
Connellsville,PA,Mid-Atlantic,N,N,N
Connersville,IN,Central,N,N,N
Coos Bay,OR,Pacific Northwest,N,N,N
Corcoran,CA,Pacific,N,N,N
Cornwells Heights,PA,Northeast,N,N,N
Corvallis,OR,Pacific Northwest,N,N,N
Crater Lake,OR,Pacific Northwest,N,N,N
Crawfordsville,IN,Central,N,N,N
Crescent City,CA,Pacific,N,N,N
Creston,IA,Central,N,N,N
Croton-on-Hudson,NY,Northeast,N,N,N
Culpeper,VA,Mid-Atlantic,N,N,N
Cumberland,MD,Mid-Atlantic,N,Y,N
Cumberland,MD,Mid-Atlantic,N,Y,N
Cut Bank,MT,Pacific Northwest,N,N,N
Dade City,FL,Southern,N,N,N
Dallas,TX,Southwest,Y,Y,N
Damariscotta,ME,Northeast,N,N,N
Danville,IL,Central,N,N,N
Danville,VA,Southern,N,N,N
Davenport,IA,Central,N,N,N
Davis,CA,Pacific,Y,Y,N
Daytona Beach,FL,Southern,N,N,N
Dearborn,MI,Central,Y,Y,N
Dearborn,MI,Central,N,N,N
Deer Park,WA,Pacific Northwest,N,N,N
Deerfield Beach,FL,Southern,N,N,N
Deforest,WI,Central,N,N,N
Del Rio,TX,Southwest,N,N,N
Deland,FL,Southern,N,N,N
Delray Beach,FL,Southern,N,N,N
Deming,NM,Southwest,N,N,N
Denair,CA,Pacific,N,N,N
Denmark,SC,Southern,N,N,N
Denver,CO,Central,N,N,N
Denver,CO,Central,Y,Y,N
Depew,NY,Northeast,Y,Y,N
Detroit,MI,Central,Y,Y,N
Detroit Lakes,MN,Central,N,N,N
Devils Lake,ND,Central,N,N,N
Dillon,SC,Southern,N,N,N
Dodge City,KS,Southwest,N,N,N
Dover,DE,Mid-Atlantic,N,Y,N
Dover,NH,Northeast,N,N,N
Dowagiac,MI,Central,N,Y,N
Downingtown,PA,Mid-Atlantic,N,N,N
Du Quoin,IL,Central,N,N,N
Duluth,MN,Central,N,N,N
Duluth,MN,Central,N,N,N
Dunkirk,NY,Northeast,N,N,N
Dunsmuir,CA,Pacific,N,N,N
Durand,MI,Central,N,Y,N
Durham,NC,Southern,Y,N,N
Durham,NH,Northeast,N,N,N
Dwight,IL,Central,N,N,N
Dyer,IN,Central,N,N,N
Earlimart,CA,Pacific,N,N,N
East Lansing,MI,Central,Y,N,N
Easton,MD,Mid-Atlantic,N,Y,N
Eau Claire,WI,Central,N,N,N
Edmonds,WA,Pacific Northwest,Y,Y,N
Effingham,IL,Central,N,N,N
El Paso,TX,Southwest,Y,Y,N
El Portal,CA,Pacific,N,N,N
El Segundo,CA,Southwest,N,N,N
Elizabethtown,PA,Mid-Atlantic,N,N,N
Elk Grove,CA,Pacific,N,N,N
Elkhart,IN,Central,N,N,N
Elko,NV,Pacific,N,N,N
Elsie,OR,Pacific Northwest,N,N,N
Elyria,OH,Central,N,N,N
Emeryville,CA,Pacific,Y,Y,N
Ephrata,WA,Pacific Northwest,N,N,N
Ephrata,WA,Pacific Northwest,N,N,N
Erie,PA,Northeast,N,N,N
Escanaba,MI,Central,N,N,N
Essex,MT,Pacific Northwest,N,N,N
Eugene,OR,Pacific Northwest,Y,Y,N
Eugene,OR,Pacific Northwest,N,N,N
Eureka,CA,Pacific,N,N,N
Everett,WA,Pacific Northwest,Y,Y,N
Exton,PA,Mid-Atlantic,N,N,N
Fargo,ND,Central,Y,Y,N
Fayetteville,NC,Southern,Y,Y,N
Fillmore,CA,Southwest,N,N,N
Flagstaff,AZ,Southwest,N,N,N
Flagstaff,AZ,Southwest,Y,Y,N
Flint,MI,Central,Y,N,N
Florence,OR,Pacific Northwest,N,N,N
Florence,SC,Southern,Y,N,N
Fond du Lac,WI,Central,N,N,N
Fort Edward,NY,Northeast,N,N,N
Fort Hood,TX,Southwest,N,N,N
Fort Lauderdale,FL,Southern,N,N,N
Fort Madison,IA,Central,Y,N,N
Fort Morgan,CO,Central,N,N,N
Fort Myers,FL,Southern,N,N,N
Fort Worth,TX,Southwest,Y,Y,N
Fortuna,CA,Pacific,N,N,N
Framingham,MA,Northeast,N,Y,N
Fraser,CO,Central,N,N,N
Frederick,MD,Mid-Atlantic,N,Y,N
Frederick,MD,Mid-Atlantic,N,Y,N
Fredericksburg,VA,Mid-Atlantic,N,N,N
Fredonia,NY,Northeast,N,N,N
Fremont,CA,Pacific,N,N,N
Fremont,CA,Pacific,N,N,N
Fresno,CA,Pacific,Y,Y,N
Frisco,CO,Central,N,N,N
Frostburg,MD,Mid-Atlantic,N,Y,N
Fullerton,CA,Southwest,Y,Y,N
Fulton,KY,Central,N,N,N
Gainesville,FL,Southern,N,N,N
