Sobreviveu,Sexo,Idade
1,female,0.75
1,female,0.75
1,female,1.0
1,female,1.0
0,female,2.0
0,female,2.0
0,female,2.0
1,female,2.0
1,female,2.0
0,female,2.0
1,female,3.0
0,female,3.0
1,female,4.0
1,female,4.0
1,female,4.0
1,female,4.0
1,female,4.0
1,female,5.0
1,female,5.0
1,female,5.0
1,female,5.0
1,female,6.0
0,female,6.0
1,female,7.0
0,female,8.0
1,female,8.0
0,female,9.0
0,female,9.0
0,female,9.0
0,female,9.0
0,female,10.0
0,female,11.0
1,female,13.0
1,female,13.0
1,female,14.0
0,female,14.0
1,female,14.0
1,female,14.0
0,female,14.5
1,female,15.0
1,female,15.0
1,female,15.0
1,female,15.0
0,female,16.0
1,female,16.0
1,female,16.0
1,female,16.0
1,female,16.0
1,female,16.0
1,female,17.0
1,female,17.0
0,female,17.0
1,female,17.0
1,female,17.0
1,female,17.0
0,female,18.0
0,female,18.0
1,female,18.0
1,female,18.0
1,female,18.0
1,female,18.0
0,female,18.0
1,female,18.0
1,female,18.0
0,female,18.0
1,female,18.0
0,female,18.0
1,female,18.0
1,female,19.0
1,female,19.0
1,female,19.0
1,female,19.0
1,female,19.0
1,female,19.0
1,female,19.0
0,female,20.0
0,female,20.0
1,female,21.0
1,female,21.0
0,female,21.0
0,female,21.0
0,female,21.0
1,female,21.0
1,female,21.0
1,female,22.0
1,female,22.0
1,female,22.0
1,female,22.0
1,female,22.0
1,female,22.0
0,female,22.0
1,female,22.0
1,female,22.0
1,female,22.0
1,female,22.0
0,female,22.0
1,female,23.0
1,female,23.0
1,female,23.0
1,female,23.0
0,female,23.0
1,female,24.0
0,female,24.0
1,female,24.0
0,female,24.0
1,female,24.0
1,female,24.0
1,female,24.0
1,female,24.0
1,female,24.0
1,female,24.0
1,female,24.0
1,female,24.0
1,female,24.0
1,female,24.0
1,female,24.0
1,female,24.0
0,female,25.0
0,female,25.0
1,female,25.0
0,female,25.0
1,female,25.0
1,female,26.0
1,female,26.0
0,female,26.0
1,female,26.0
0,female,26.0
1,female,27.0
0,female,27.0
1,female,27.0
1,female,27.0
1,female,27.0
1,female,27.0
0,female,28.0
1,female,28.0
0,female,28.0
1,female,28.0
1,female,28.0
1,female,28.0
1,female,28.0
1,female,29.0
1,female,29.0
1,female,29.0
0,female,29.0
1,female,29.0
0,female,29.0
1,female,29.0
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
0,female,29.69911764705882
1,female,29.69911764705882
0,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
0,female,29.69911764705882
0,female,29.69911764705882
0,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
0,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
0,female,29.69911764705882
0,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
0,female,29.69911764705882
0,female,29.69911764705882
1,female,29.69911764705882
0,female,29.69911764705882
1,female,29.69911764705882
0,female,29.69911764705882
0,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
0,female,29.69911764705882
1,female,29.69911764705882
1,female,29.69911764705882
0,female,29.69911764705882
1,female,29.69911764705882
0,female,29.69911764705882
0,female,29.69911764705882
1,female,30.0
1,female,30.0
1,female,30.0
1,female,30.0
1,female,30.0
0,female,30.0
1,female,30.0
1,female,30.0
1,female,30.0
0,female,30.0
1,female,30.0
0,female,30.5
0,female,31.0
1,female,31.0
1,female,31.0
1,female,31.0
0,female,31.0
1,female,31.0
1,female,31.0
1,female,32.0
1,female,32.0
0,female,32.0
1,female,32.5
1,female,33.0
1,female,33.0
1,female,33.0
1,female,33.0
1,female,33.0
1,female,33.0
1,female,34.0
1,female,34.0
1,female,34.0
1,female,34.0
1,female,35.0
1,female,35.0
1,female,35.0
1,female,35.0
1,female,35.0
1,female,35.0
1,female,35.0
1,female,35.0
